Area Name,Continent,Exits
Chakra Spire,"Alagh, the Blood Lands (Alagh, the Blood Lands)",(no exits to other areas)
Challenge Area,-,The Grand City of Aylor
Chaprenula's Laboratory,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
Child's Play,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
Christmas Vacation,Gelidus (Gelidus),(no exits to other areas)
Cloud City of Gnomalin,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
Cradlebrook,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
Crossroads of Fortune,"The Dark Continent, Abend (The Dark Continent, Abend)",(no exits to other areas)
Crynn's Church,The Southern Ocean (The Southern Ocean),(no exits to other areas)
Dark Elf Stronghold,Gelidus (Gelidus),(no exits to other areas)
Dark Temple of Zhamet,-,The Grand City of Aylor
Death's Manor,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
Deathtrap Dungeon,-,The UnderDark
Den of Thieves,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
Descent to Hell,"Alagh, the Blood Lands (Alagh, the Blood Lands)",The Council of the Wyrm
Desert Doom,-,(no exits to other areas)
Dhal'Gora Outlands,The Southern Ocean (The Southern Ocean),(no exits to other areas)
Diamond Soul Revelation,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
Disciples of Hassan Clan Hall,-,Avian Kingdom; Dortmund; New Thalos; Sanctity of Eternal Damnation; The Cataclysm; The Grand City of Aylor
Dominion Clan Area,-,The Grand City of Aylor
Dortmund,The Continent of Mesolar (The Continent of Mesolar),The Monastery; The Old Cathedral
Dread Tower,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
Dune: The Desert Planet,-,(no exits to other areas)
Dunes in Gold,"Alagh, the Blood Lands (Alagh, the Blood Lands)",(no exits to other areas)
Dusk Valley,"Alagh, the Blood Lands (Alagh, the Blood Lands)",(no exits to other areas)
Earth Plane 4,Gelidus (Gelidus),(no exits to other areas)
Elemental Chaos,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
"Empyrean, Streets of Downfall",-,Living Mines of Dak'Tai
Entrance to Hades,"The Dark Continent, Abend (The Dark Continent, Abend)",The Grand City of Aylor
Eternal Autumn,"The Dark Continent, Abend (The Dark Continent, Abend)",Ketu Uplands
Faerie Tales,The Continent of Mesolar (The Continent of Mesolar),Faerie Tales II
Faerie Tales II,-,Faerie Tales
Fantasy Fields,-,The Grand City of Aylor
Fellchantry,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
Foolish Promises,Gelidus (Gelidus),(no exits to other areas)
Fort Terramire,-,The UnderDark
Fractals of the Weave,-,The Grand City of Aylor
Gallows Hill,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
Giant's Pet Store,-,Aardwolf Zoological Park
Gilda And The Dragon,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
Gnoll's Quarry,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
Gold Rush,The Continent of Mesolar (The Continent of Mesolar),The Grand City of Aylor
Guardian's Spyre of Knowledge,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
Halls of the Damned,"The Dark Continent, Abend (The Dark Continent, Abend)",(no exits to other areas)
Hatchling Aerie,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
Hedgehogs' Paradise,The Continent of Mesolar (The Continent of Mesolar),Aardington Estate
Helegear Sea,-,(no exits to other areas)
Hotel Orlando,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
House of Cards,"The Dark Continent, Abend (The Dark Continent, Abend)",(no exits to other areas)
Icefall,The Uncharted Oceans (The Uncharted Oceans),(no exits to other areas)
Imagi's Nation,The Southern Ocean (The Southern Ocean),(no exits to other areas)
Immortal Homes,"Alagh, the Blood Lands (Alagh, the Blood Lands); Gelidus (Gelidus); The Dark Continent, Abend (The Dark Continent, Abend); The Southern Ocean (The Southern Ocean); The Uncharted Oceans (The Uncharted Oceans)",A Bad Trip; The Grand City of Aylor
Imperial Nation,-,"Vidblain, the Ever Dark"
Insanitaria,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
Into the Long Night,"The Dark Continent, Abend (The Dark Continent, Abend)",(no exits to other areas)
Intrigues of Times Past,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
Island of Lost Time,"The Dark Continent, Abend (The Dark Continent, Abend)",(no exits to other areas)
Isle of Anglesey,-,The Grand City of Aylor
Jenny's Tavern,-,Kerofk
Jotunheim,-,The Grand City of Aylor
Journey to the Inferno,The Uncharted Oceans (The Uncharted Oceans),(no exits to other areas)
Jungles of Verume,"Alagh, the Blood Lands (Alagh, the Blood Lands)",Thandeld's Conflict; The Cougarian Queendom
Keep of the Kobaloi,The Continent of Mesolar (The Continent of Mesolar),The Chasm and The Catacombs
Kerofk,The Continent of Mesolar (The Continent of Mesolar),Jenny's Tavern
Ketu Uplands,"The Dark Continent, Abend (The Dark Continent, Abend)",Eternal Autumn
Kiksaadi Cove,Gelidus (Gelidus),(no exits to other areas)
Kimr's Farm,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
Kingdom of Ahner,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
Kingsholm,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
Kobold Siege Camp,Gelidus (Gelidus),(no exits to other areas)
Kul Tiras,"The Dark Continent, Abend (The Dark Continent, Abend)",(no exits to other areas)
Land of Legend,-,The Grand City of Aylor
Limbo,-,(no exits to other areas)
Living Mines of Dak'Tai,"Alagh, the Blood Lands (Alagh, the Blood Lands)","Empyrean, Streets of Downfall; The Gathering Horde"
Loqui Clan Area,-,The Grand City of Aylor
Lowlands Paradise '96,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
Masaki Clan Area,-,The Grand City of Aylor
Masquerade Island,The Uncharted Oceans (The Uncharted Oceans),(no exits to other areas)
Midgaard,-,(no exits to other areas)
Midgaardian Publishing House,-,Child's Play; Mount duNoir; The Grand City of Aylor; The Graveyard; The Great Salt Flats; The Realm of the Hawklords
Mossflower Wood,-,(no exits to other areas)
Mount duNoir,"The Dark Continent, Abend (The Dark Continent, Abend)",(no exits to other areas)
Mountain View Estates,Gelidus (Gelidus),Aardwolf Estates 2000; Annwn; Prairie Village Estates; Seaside Height Estates; Shady Acres Estates; The Aardwolf Isle Estates; The Grand City of Aylor; The Tree of Life; Xyl's Mosaic
Mudwog's Swamp,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
Nanjiki Ruins,-,The Amazon Nation
Nebulous Horizon,"Alagh, the Blood Lands (Alagh, the Blood Lands)",(no exits to other areas)
Necromancers' Guild,-,The Graveyard
Nenukon and the Far Country,"Alagh, the Blood Lands (Alagh, the Blood Lands)",(no exits to other areas)
New Thalos,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
Northstar,"Alagh, the Blood Lands (Alagh, the Blood Lands)",(no exits to other areas)
Nottingham,"Alagh, the Blood Lands (Alagh, the Blood Lands)",(no exits to other areas)
Nowhere,-,(no exits to other areas)
Old clan holding area 1,-,(no exits to other areas)
Old clan holding area 2,-,(no exits to other areas)
Old clan holding area 3,-,(no exits to other areas)
Old clan holding area 4,-,(no exits to other areas)
Olde Worlde Carnivale,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
Onyx Bazaar,-,The UnderDark
Ookushka Garrison,Gelidus (Gelidus),(no exits to other areas)
Oradrin's Chosen,The Uncharted Oceans (The Uncharted Oceans),(no exits to other areas)
Paradise Lost,Gelidus (Gelidus),(no exits to other areas)
Perdition Clan Area,-,A Peaceful Giant Village; The Grand City of Aylor; The Ruins of Stormhaven; The Temple of Shouggoth
Plains of Nulan'Boar,Gelidus (Gelidus),(no exits to other areas)
Pompeii,The Southern Ocean (The Southern Ocean),(no exits to other areas)
Prairie Village Estates,The Continent of Mesolar (The Continent of Mesolar),Aardwolf Estates 2000; Bloodlust Dungeon; Crossroads of Fortune; Faerie Tales II; Hedgehogs' Paradise; Mountain View Estates; Seaside Height Estates; Shadow's End; Shady Acres Estates; The Grand City of Aylor
Prosper's Island,-,Storm Ships of Lem-Dagor
Qong,The Southern Ocean (The Southern Ocean),(no exits to other areas)
Radiance Woods,-,(no exits to other areas)
Raganatittu,"Alagh, the Blood Lands (Alagh, the Blood Lands)",(no exits to other areas)
Raiding School,-,(no exits to other areas)
Ranger Heaven,-,(no exits to other areas)
Realm of Deneria,Gelidus (Gelidus),(no exits to other areas)
Realm of the Firebird,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
Realm of the Sacred Flame,"The Dark Continent, Abend (The Dark Continent, Abend)",(no exits to other areas)
Realm of the Zodiac,"The Dark Continent, Abend (The Dark Continent, Abend)",(no exits to other areas)
Rebellion of the Nix,-,Brightsea and Glimmerdim
Rosewood Castle,"The Dark Continent, Abend (The Dark Continent, Abend)",(no exits to other areas)
ST:TNG,-,(no exits to other areas)
Sagewood Grove,"Alagh, the Blood Lands (Alagh, the Blood Lands)",(no exits to other areas)
Sanctity of Eternal Damnation,Gelidus (Gelidus),(no exits to other areas)
Sea King's Dominion,-,(no exits to other areas)
Seaside Height Estates,"The Dark Continent, Abend (The Dark Continent, Abend)",Aardwolf Estates 2000; Mountain View Estates; Prairie Village Estates; Shady Acres Estates; The Aardwolf Isle Estates; The Grand City of Aylor
Secret Imm Project #69,-,(no exits to other areas)
Sen'narre Lake,The Continent of Mesolar (The Continent of Mesolar),The Fire Swamp
Seven Wonders,-,Ancient Greece
Shadow's End,"Alagh, the Blood Lands (Alagh, the Blood Lands)",(no exits to other areas)
Shady Acres Estates,"Alagh, the Blood Lands (Alagh, the Blood Lands)",Aardwolf Estates 2000; Mountain View Estates; Prairie Village Estates; Seaside Height Estates
Sheila's Cat Sanctuary,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
"Sho'aram, Castle in the Sand",-,(no exits to other areas)
Siren's Oasis Resort,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
Skeletal Remains,"The Dark Continent, Abend (The Dark Continent, Abend)",(no exits to other areas)
Snuckles Village,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
Stonekeep,-,(no exits to other areas)
Storm Mountain,Gelidus (Gelidus),(no exits to other areas)
Storm Ships of Lem-Dagor,"Alagh, the Blood Lands (Alagh, the Blood Lands)",Prosper's Island
Sundered Vale,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
Svrogan's Logging Camp,-,(no exits to other areas)
Swordbreaker's Hoard,Gelidus (Gelidus),(no exits to other areas)
Tai'rha Laym,"The Dark Continent, Abend (The Dark Continent, Abend)",(no exits to other areas)
Tairayden Peninsula,Gelidus (Gelidus),Tribal Origins
Takeda's Warcamp,"Alagh, the Blood Lands (Alagh, the Blood Lands)",(no exits to other areas)
Tanra'vea,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
Thandeld's Conflict,-,Jungles of Verume
The Aardwolf Isle Estates,The Uncharted Oceans (The Uncharted Oceans),Mountain View Estates; Seaside Height Estates
The Aardwolf Real Estates,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
The Abyssal Caverns of Sahuagin,The Uncharted Oceans (The Uncharted Oceans),(no exits to other areas)
The Adventurers' Wayhouse,-,(no exits to other areas)
The Amazon Nation,"Alagh, the Blood Lands (Alagh, the Blood Lands)",Nanjiki Ruins
The Amusement Park,The Continent of Mesolar (The Continent of Mesolar),Realm of the Zodiac; Swordbreaker's Hoard; Thandeld's Conflict; The Lower Planes; The Nine Hells; The Upper Planes
The Archipelago of Entropy,"The Dark Continent, Abend (The Dark Continent, Abend)",(no exits to other areas)
The Astral Travels,"The Dark Continent, Abend (The Dark Continent, Abend)",(no exits to other areas)
The Aylorian Academy,-,The Boot Camp; The Grand City of Aylor
The Bard Clan,-,The Amusement Park; The Blighted Tundra of Andarin; The Coral Kingdom; The Grand City of Aylor; The Town of Solan; Zangar's Demonic Grotto
The Blighted Tundra of Andarin,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
The Blood Opal of Rauko'ra,-,The Mountains of Desolation
The Blood Sanctum,"The Dark Continent, Abend (The Dark Continent, Abend)",(no exits to other areas)
The Boot Camp,-,Hatchling Aerie; House of Cards; Kul Tiras; Sanctity of Eternal Damnation; The Aylorian Academy; The Grand City of Aylor; The Mountains of Desolation
The Broken Halls of Horath,"The Dark Continent, Abend (The Dark Continent, Abend)",(no exits to other areas)
The Call of Heroes,-,(no exits to other areas)
The Casino,-,(no exits to other areas)
The Cataclysm,"Alagh, the Blood Lands (Alagh, the Blood Lands)",The Maelstrom
The Chasm and The Catacombs,-,Keep of the Kobaloi; The UnderDark; Zangar's Demonic Grotto
The Chessboard,-,The Grand City of Aylor
The Collective Mind of Tao,-,Brightsea and Glimmerdim; Earth Plane 4; Foolish Promises; The Grand City of Aylor; The Old Cathedral; Tribal Origins
The Coral Kingdom,The Southern Ocean (The Southern Ocean),(no exits to other areas)
The Cougarian Queendom,-,Jungles of Verume
The Council of the Wyrm,-,Descent to Hell; The Grand City of Aylor
The Covenant of Mistridge,"Alagh, the Blood Lands (Alagh, the Blood Lands)",(no exits to other areas)
The Cracks of Terra,The Uncharted Oceans (The Uncharted Oceans),(no exits to other areas)
The Crimson Horde Clan Hall,-,The Grand City of Aylor
The Crusader Clan,-,Diamond Soul Revelation; Jungles of Verume; Storm Mountain; The Grand City of Aylor; The UnderDark; War of the Wizards
The Curse of the Midnight Fens,Gelidus (Gelidus),(no exits to other areas)
The Dark Temple of Zyian,"The Dark Continent, Abend (The Dark Continent, Abend)",(no exits to other areas)
The DarkLight,-,"Vidblain, the Ever Dark"
The Darkside of the Fractured Lands,-,The Fractured Lands
The Deadlights,-,The Grand City of Aylor; The Mountains of Desolation
The Desert Prison,"Alagh, the Blood Lands (Alagh, the Blood Lands)",(no exits to other areas)
The Drageran Empire,"The Dark Continent, Abend (The Dark Continent, Abend)",(no exits to other areas)
The Dungeon of Doom,"Alagh, the Blood Lands (Alagh, the Blood Lands)",(no exits to other areas)
The Dwarven Kingdom,-,(no exits to other areas)
The Earth Lords,"The Dark Continent, Abend (The Dark Continent, Abend)",(no exits to other areas)
The Eighteenth Dynasty,-,The Gauntlet
The Emerald Clan HQ,-,The Grand City of Aylor
The Empire of Aiighialla,The Uncharted Oceans (The Uncharted Oceans),(no exits to other areas)
The Empire of Talsa,Gelidus (Gelidus),(no exits to other areas)
The Fabled City of Stone,"Alagh, the Blood Lands (Alagh, the Blood Lands)",(no exits to other areas)
The Fire Swamp,-,Sen'narre Lake
The First Ascent,-,(no exits to other areas)
The Flying Citadel,"Alagh, the Blood Lands (Alagh, the Blood Lands)",(no exits to other areas)
The Forest of Li'Dnesh,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
The Fortress of Angband,-,(no exits to other areas)
The Fortress of Knowledge,-,Deathtrap Dungeon; Descent to Hell; The Grand City of Aylor; The Ruins of Stormhaven; The Scarred Lands; The Yurgach Domain
The Fractured Lands,The Continent of Mesolar (The Continent of Mesolar),The Darkside of the Fractured Lands
The Gathering Horde,-,Living Mines of Dak'Tai
The Gauntlet,The Continent of Mesolar (The Continent of Mesolar),The Eighteenth Dynasty
The Gladiator's Arena,The Uncharted Oceans (The Uncharted Oceans),(no exits to other areas)
The Glamdursil,"The Dark Continent, Abend (The Dark Continent, Abend)",(no exits to other areas)
The Goblin Fortress,"The Dark Continent, Abend (The Dark Continent, Abend)",(no exits to other areas)
The Grand City of Aylor,"Alagh, the Blood Lands (Alagh, the Blood Lands); Gelidus (Gelidus); The Continent of Mesolar (The Continent of Mesolar); The Dark Continent, Abend (The Dark Continent, Abend); The Uncharted Oceans (The Uncharted Oceans)","A Bad Trip; A Clearing in the Woods; Art of Melody; Cathedral of the Elements; Dark Temple of Zhamet; Disciples of Hassan Clan Hall; Dominion Clan Area; Fractals of the Weave; Isle of Anglesey; Jotunheim; Land of Legend; Loqui Clan Area; Masaki Clan Area; Midgaardian Publishing House; Perdition Clan Area; The Aylorian Academy; The Bard Clan; The Call of Heroes; The Chessboard; The Collective Mind of Tao; The Crimson Horde Clan Hall; The Crusader Clan; The Emerald Clan HQ; The First Ascent; The Fortress of Knowledge; The Halls of Vanir; The Ivory City; The Legendary City of Tanelorn; The Order of Light; The Realm of Chaos; The Sanguine Tavern; The Shadokil Guildhouse; The Stronghold of the Imperium Clan; The Twinlobe Clan HQ; The Underground Hall; The Warzone; The White Dragon Clan; The World of the Watchmen; Touchstone Cavern; Twilight Hall; Vidblain, the Ever Dark"
The Graveyard,The Continent of Mesolar (The Continent of Mesolar),Necromancers' Guild
The Great City of Knossos,-,Ancient Greece; The Stuff of Shadows
The Great Salt Flats,"Alagh, the Blood Lands (Alagh, the Blood Lands)",Desert Doom
The Halls of Vanir,-,Deathtrap Dungeon; Faerie Tales; Seven Wonders; The Council of the Wyrm; The Gathering Horde; The Grand City of Aylor
The Icy Caldera of Mauldoon,Gelidus (Gelidus),(no exits to other areas)
The Imperial City of Reme,The Continent of Mesolar (The Continent of Mesolar),The Reman Conspiracy
The Infestation,The Continent of Mesolar (The Continent of Mesolar),A Magical Hodgepodge
The Island of Stardock,-,(no exits to other areas)
The Ivory City,-,Battlefields of Adaldar; Northstar; Nottingham; The Council of the Wyrm; The Grand City of Aylor
The Keep of Kearvek,"Alagh, the Blood Lands (Alagh, the Blood Lands)",(no exits to other areas)
The Keep of the Asherodan,-,"Vidblain, the Ever Dark"
The Killing Fields,"Alagh, the Blood Lands (Alagh, the Blood Lands)",(no exits to other areas)
The Labyrinth,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
The Land of Oz,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
The Land of the Beer Goblins,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
The Laser Zone,-,(no exits to other areas)
The Legendary City of Tanelorn,-,Faerie Tales II; Realm of the Firebird; Rosewood Castle; The Covenant of Mistridge; The Grand City of Aylor; The Partroxis
The Lower Planes,-,(no exits to other areas)
The Maelstrom,"The Dark Continent, Abend (The Dark Continent, Abend)",The Cataclysm
The Marshlands of Agroth,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
The Mirror Realm,-,(no exits to other areas)
The Misty Shores of Yarr,The Southern Ocean (The Southern Ocean),(no exits to other areas)
The Monastery,-,Dortmund
The Mountains of Desolation,"The Dark Continent, Abend (The Dark Continent, Abend)",A Peaceful Giant Village; The Blood Opal of Rauko'ra; The Deadlights; Umari's Castle
The Nine Hells,-,The Grand City of Aylor
The Nyne Woods,The Uncharted Oceans (The Uncharted Oceans),The Grand City of Aylor
The Old Cathedral,-,Dortmund
The Onslaught of Chaos,-,(no exits to other areas)
The Order of Light,-,The Grand City of Aylor
The Palace of Song,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
The Partroxis,-,The School of Horror
The Path of the Believer,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
The Port,-,(no exits to other areas)
The Realm of Chaos,-,The Grand City of Aylor
The Realm of Infamy,-,(no exits to other areas)
The Realm of the Hawklords,Gelidus (Gelidus),(no exits to other areas)
The Relinquished Tombs,"The Dark Continent, Abend (The Dark Continent, Abend)",(no exits to other areas)
The Reman Conspiracy,-,The Imperial City of Reme; The Realm of Infamy
The River of Despair,-,(no exits to other areas)
The Ruins of Diamond Reach,Gelidus (Gelidus),The Grand City of Aylor
The Ruins of Stormhaven,"The Dark Continent, Abend (The Dark Continent, Abend)",(no exits to other areas)
The Sanguine Tavern,-,The Grand City of Aylor
The Scarred Lands,"The Dark Continent, Abend (The Dark Continent, Abend)",(no exits to other areas)
The School of Horror,-,The School of Horror
The School of Horror,"The Dark Continent, Abend (The Dark Continent, Abend)",The Partroxis; The School of Horror
The Shadokil Guildhouse,-,The Covenant of Mistridge; The Grand City of Aylor; The Icy Caldera of Mauldoon; The Ruins of Stormhaven
The Shadows of Minos,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
The Silver Volcano,"The Dark Continent, Abend (The Dark Continent, Abend)",(no exits to other areas)
The Slaughter House,"The Dark Continent, Abend (The Dark Continent, Abend)",(no exits to other areas)
The Stronghold of the Imperium Clan,-,The Grand City of Aylor
The Stuff of Shadows,-,The Great City of Knossos
The Temple of Shal'indrael,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
The Temple of Shouggoth,"Alagh, the Blood Lands (Alagh, the Blood Lands)",(no exits to other areas)
The Three Pillars of Diatz,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
The Titans' Keep,The Uncharted Oceans (The Uncharted Oceans),Transcendence
The Tournament of Illoria,"The Dark Continent, Abend (The Dark Continent, Abend)",(no exits to other areas)
The Town of Solan,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
The Tree of Life,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
The Trouble with Gwillimberry,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
The Twinlobe Clan HQ,-,The Grand City of Aylor
The UnderDark,The Continent of Mesolar (The Continent of Mesolar),Deathtrap Dungeon; Fort Terramire; Onyx Bazaar; The Chasm and The Catacombs; The Uprising
The Underground Hall,-,Onyx Bazaar; Rosewood Castle; The Gathering Horde; The Grand City of Aylor; The Nyne Woods; The Stuff of Shadows
The Upper Planes,-,(no exits to other areas)
The Uprising,-,The UnderDark
The Warzone,-,The Grand City of Aylor
The Were Wood,"Alagh, the Blood Lands (Alagh, the Blood Lands)",(no exits to other areas)
The White Dragon Clan,-,The Grand City of Aylor
The Witches of Omen Tor,-,"Vidblain, the Ever Dark"
The Wobbly Woes of Woobleville,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
The Wood Elves of Nalondir,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
The World of the Watchmen,-,Faerie Tales; The Grand City of Aylor; The Mountains of Desolation; The Wobbly Woes of Woobleville; Unearthly Bonds; Winterlands
The Yurgach Domain,"The Dark Continent, Abend (The Dark Continent, Abend)",The Drageran Empire
Tilule Rehabilitation Clinic,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
Tir na nOg,"Alagh, the Blood Lands (Alagh, the Blood Lands)",The Grand City of Aylor
Touchstone Cavern,-,Foolish Promises; Hedgehogs' Paradise; Realm of the Zodiac; The Grand City of Aylor; The Land of Oz; Weather Observatory
Tournament Camps,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
Transcendence,-,(no exits to other areas)
Tribal Origins,-,(no exits to other areas)
Tumari's Diner,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
Twilight Hall,-,The Grand City of Aylor
Ultima,-,(no exits to other areas)
Umari's Castle,-,The Mountains of Desolation
Unearthly Bonds,Gelidus (Gelidus),(no exits to other areas)
Verdure Estate,-,Wayward Alehouse
"Vidblain, the Ever Dark",-,Adventures in Sendhia; Imperial Nation; The DarkLight; The Keep of the Asherodan; The Witches of Omen Tor
War of the Wizards,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
Warrior's Training Camp,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
Wayfarer's Caravan,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
Wayward Alehouse,"The Dark Continent, Abend (The Dark Continent, Abend)",Verdure Estate
Weather Observatory,Gelidus (Gelidus),(no exits to other areas)
Wedded Bliss,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
White Claw Cavern,-,(no exits to other areas)
Wildwood,Gelidus (Gelidus),(no exits to other areas)
Winds of Fate,-,(no exits to other areas)
Winterlands,Gelidus (Gelidus),(no exits to other areas)
Xyl's Mosaic,"The Dark Continent, Abend (The Dark Continent, Abend)",(no exits to other areas)
Yggdrasil: The World Tree,The Southern Ocean (The Southern Ocean),(no exits to other areas)
Zangar's Demonic Grotto,-,The Chasm and The Catacombs
